a,b,c,x,y,d
Record Length,2.500000e+03,,  -0.000001250000,  -3.84000,
Sample Interval,1.000000e-09,,  -0.000001249000,  -3.76000,
Trigger Point,1.250000000000e+03,,  -0.000001248000,  -3.76000,
,,,  -0.000001247000,  -3.68000,
,,,  -0.000001246000,  -3.68000,
,,,  -0.000001245000,  -3.60000,
Source,CH2,,  -0.000001244000,  -3.60000,
Vertical Units,V,,  -0.000001243000,  -3.52000,
Vertical Scale,2.000000e+00,,  -0.000001242000,  -3.52000,
Vertical Offset,-8.000000e-02,,  -0.000001241000,  -3.44000,
Horizontal Units,s,,  -0.000001240000,  -3.44000,
Horizontal Scale,2.500000e-07,,  -0.000001239000,  -3.36000,
Pt Fmt,Y,,  -0.000001238000,  -3.36000,
Yzero,0.000000e+00,,  -0.000001237000,  -3.28000,
Probe Atten,2.000000e+01,,  -0.000001236000,  -3.28000,
Model Number,TDS2024B,,  -0.000001235000,  -3.20000,
Serial Number,C030801,,  -0.000001234000,  -3.20000,
Firmware Version,FV:v22.01,,  -0.000001233000,  -3.12000,
,,,-00.000001232000,  -3.12000,
,,,-00.000001231000,  -3.12000,
,,,-00.000001230000,  -3.04000,
,,,-00.000001229000,  -2.96000,
,,,-00.000001228000,  -2.96000,
,,,-00.000001227000,  -2.96000,
,,,-00.000001226000,  -2.88000,
,,,-00.000001225000,  -2.80000,
,,,-00.000001224000,  -2.80000,
,,,-00.000001223000,  -2.72000,
,,,-00.000001222000,  -2.72000,
,,,-00.000001221000,  -2.64000,
,,,-00.000001220000,  -2.64000,
,,,-00.000001219000,  -2.56000,
,,,-00.000001218000,  -2.56000,
,,,-00.000001217000,  -2.48000,
,,,-00.000001216000,  -2.48000,
,,,-00.000001215000,  -2.40000,
,,,-00.000001214000,  -2.40000,
,,,-00.000001213000,  -2.32000,
,,,-00.000001212000,  -2.32000,
,,,-00.000001211000,  -2.24000,
,,,-00.000001210000,  -2.24000,
,,,-00.000001209000,  -2.16000,
,,,-00.000001208000,  -2.16000,
,,,-00.000001207000,  -2.08000,
,,,-00.000001206000,  -2.08000,
,,,-00.000001205000,  -2.00000,
,,,-00.000001204000,  -1.92000,
,,,-00.000001203000,  -1.92000,
,,,-00.000001202000,  -1.84000,
,,,-00.000001201000,  -1.84000,
,,,-00.000001200000,  -1.84000,
,,,-00.000001199000,  -1.76000,
,,,-00.000001198000,  -1.68000,
,,,-00.000001197000,  -1.68000,
,,,-00.000001196000,  -1.60000,
,,,-00.000001195000,  -1.60000,
,,,-00.000001194000,  -1.52000,
,,,-00.000001193000,  -1.52000,
,,,-00.000001192000,  -1.44000,
,,,-00.000001191000,  -1.44000,
,,,-00.000001190000,  -1.36000,
,,,-00.000001189000,  -1.28000,
,,,-00.000001188000,  -1.28000,
,,,-00.000001187000,  -1.20000,
,,,-00.000001186000,  -1.20000,
,,,-00.000001185000,  -1.12000,
,,,-00.000001184000,  -1.12000,
,,,-00.000001183000,  -1.04000,
,,,-00.000001182000,  -1.04000,
,,,-00.000001181000,  -0.96000,
,,,-00.000001180000,  -0.88000,
,,,-00.000001179000,  -0.88000,
,,,-00.000001178000,  -0.80000,
,,,-00.000001177000,  -0.80000,
,,,-00.000001176000,  -0.72000,
,,,-00.000001175000,  -0.72000,
,,,-00.000001174000,  -0.64000,
,,,-00.000001173000,  -0.64000,
,,,-00.000001172000,  -0.56000,
,,,-00.000001171000,  -0.48000,
,,,-00.000001170000,  -0.48000,
,,,-00.000001169000,  -0.40000,
,,,-00.000001168000,  -0.40000,
,,,-00.000001167000,  -0.32000,
,,,-00.000001166000,  -0.32000,
,,,-00.000001165000,  -0.24000,
,,,-00.000001164000,  -0.16000,
,,,-00.000001163000,  -0.16000,
,,,-00.000001162000,  -0.16000,
,,,-00.000001161000,  -0.08000,
,,,-00.000001160000,   0.00000,
,,,-00.000001159000,   0.00000,
,,,-00.000001158000,   0.08000,
,,,-00.000001157000,   0.08000,
,,,-00.000001156000,   0.16000,
,,,-00.000001155000,   0.24000,
,,,-00.000001154000,   0.24000,
,,,-00.000001153000,   0.32000,
,,,-00.000001152000,   0.32000,
,,,-00.000001151000,   0.40000,
,,,-00.000001150000,   0.40000,
,,,-00.000001149000,   0.48000,
,,,-00.000001148000,   0.48000,
,,,-00.000001147000,   0.56000,
,,,-00.000001146000,   0.64000,
,,,-00.000001145000,   0.64000,
,,,-00.000001144000,   0.72000,
,,,-00.000001143000,   0.72000,
,,,-00.000001142000,   0.80000,
,,,-00.000001141000,   0.80000,
,,,-00.000001140000,   0.88000,
,,,-00.000001139000,   0.96000,
,,,-00.000001138000,   0.96000,
,,,-00.000001137000,   1.04000,
,,,-00.000001136000,   1.04000,
,,,-00.000001135000,   1.12000,
,,,-00.000001134000,   1.12000,
,,,-00.000001133000,   1.20000,
,,,-00.000001132000,   1.20000,
,,,-00.000001131000,   1.28000,
,,,-00.000001130000,   1.36000,
,,,-00.000001129000,   1.36000,
,,,-00.000001128000,   1.44000,
,,,-00.000001127000,   1.44000,
,,,-00.000001126000,   1.52000,
,,,-00.000001125000,   1.52000,
,,,-00.000001124000,   1.60000,
,,,-00.000001123000,   1.60000,
,,,-00.000001122000,   1.68000,
,,,-00.000001121000,   1.68000,
,,,-00.000001120000,   1.76000,
,,,-00.000001119000,   1.76000,
,,,-00.000001118000,   1.84000,
,,,-00.000001117000,   1.84000,
,,,-00.000001116000,   1.92000,
,,,-00.000001115000,   2.00000,
,,,-00.000001114000,   2.00000,
,,,-00.000001113000,   2.08000,
,,,-00.000001112000,   2.08000,
,,,-00.000001111000,   2.16000,
,,,-00.000001110000,   2.16000,
,,,-00.000001109000,   2.24000,
,,,-00.000001108000,   2.24000,
,,,-00.000001107000,   2.32000,
,,,-00.000001106000,   2.32000,
,,,-00.000001105000,   2.40000,
,,,-00.000001104000,   2.40000,
,,,-00.000001103000,   2.48000,
,,,-00.000001102000,   2.48000,
,,,-00.000001101000,   2.56000,
,,,-00.000001100000,   2.56000,
,,,-00.000001099000,   2.64000,
,,,-00.000001098000,   2.72000,
,,,-00.000001097000,   2.72000,
,,,-00.000001096000,   2.80000,
,,,-00.000001095000,   2.80000,
,,,-00.000001094000,   2.88000,
,,,-00.000001093000,   2.88000,
,,,-00.000001092000,   2.96000,
,,,-00.000001091000,   2.96000,
,,,-00.000001090000,   3.04000,
,,,-00.000001089000,   3.04000,
,,,-00.000001088000,   3.12000,
,,,-00.000001087000,   3.12000,
,,,-00.000001086000,   3.20000,
,,,-00.000001085000,   3.20000,
,,,-00.000001084000,   3.20000,
,,,-00.000001083000,   3.28000,
,,,-00.000001082000,   3.36000,
,,,-00.000001081000,   3.36000,
,,,-00.000001080000,   3.44000,
,,,-00.000001079000,   3.44000,
,,,-00.000001078000,   3.44000,
,,,-00.000001077000,   3.52000,
,,,-00.000001076000,   3.52000,
,,,-00.000001075000,   3.60000,
,,,-00.000001074000,   3.60000,
,,,-00.000001073000,   3.68000,
,,,-00.000001072000,   3.68000,
,,,-00.000001071000,   3.76000,
,,,-00.000001070000,   3.76000,
,,,-00.000001069000,   3.84000,
,,,-00.000001068000,   3.84000,
,,,-00.000001067000,   3.84000,
,,,-00.000001066000,   3.92000,
